timestamp,ticker,side,crowd_prob,model_prob,ev,position_usd,hours_to_close,family,strike,spot_price,close_time,tier,resolved_yes,resolved_no,won,pnl_usd,exit_type
2026-04-07T22:16:29.089961,KXBTC-26APR0800-B71150,no,0.8800,0.8954,0.0175,2.89,0.73,KXBTC,71150.0,,2026-04-08T04:00:00Z,1,0,1,0,-0.09,early_loss
2026-04-07T22:16:33.485106,KXBTC-26APR0800-B71450,no,0.8700,0.8884,0.0211,3.18,0.72,KXBTC,71450.0,,2026-04-08T04:00:00Z,1,0,1,0,-0.13,early_loss
2026-04-07T22:16:33.486170,KXBTC-26APR0800-B71150,no,0.8800,0.8954,0.0175,2.89,0.72,KXBTC,71150.0,,2026-04-08T04:00:00Z,1,0,1,0,-0.09,early_loss
2026-04-07T22:16:35.867915,KXBTC-26APR0800-B71450,no,0.8700,0.8884,0.0211,3.18,0.72,KXBTC,71450.0,,2026-04-08T04:00:00Z,1,0,1,0,-0.13,early_loss
2026-04-07T22:16:35.868411,KXBTC-26APR0800-B71150,no,0.8800,0.8954,0.0175,2.89,0.72,KXBTC,71150.0,,2026-04-08T04:00:00Z,1,0,1,0,-0.09,early_loss
2026-04-07T22:16:37.916000,KXBTC-26APR0800-B71450,no,0.8700,0.8884,0.0211,3.18,0.72,KXBTC,71450.0,,2026-04-08T04:00:00Z,1,0,1,0,-0.13,early_loss
2026-04-07T22:16:37.917477,KXBTC-26APR0800-B71150,no,0.8800,0.8954,0.0175,2.89,0.72,KXBTC,71150.0,,2026-04-08T04:00:00Z,1,0,1,0,-0.09,early_loss
2026-04-07T22:16:47.034283,KXBTC-26APR0800-B71450,no,0.8700,0.8884,0.0211,3.18,0.72,KXBTC,71450.0,,2026-04-08T04:00:00Z,1,0,1,0,-0.13,early_loss
2026-04-07T22:16:50.349217,KXBTC-26APR0800-B71450,no,0.8600,0.8814,0.0249,3.44,0.72,KXBTC,71450.0,,2026-04-08T04:00:00Z,1,0,1,0,-0.1,early_loss
2026-04-07T22:16:53.806507,KXBTC-26APR0800-B71450,no,0.8600,0.8814,0.0249,3.44,0.72,KXBTC,71450.0,,2026-04-08T04:00:00Z,1,0,1,0,-0.1,early_loss
2026-04-07T22:16:53.807510,KXBTC-26APR0800-B71150,no,0.8900,0.9024,0.0139,1.27,0.72,KXBTC,71150.0,,2026-04-08T04:00:00Z,2,0,1,0,-0.03,early_loss
2026-04-07T22:17:02.987989,KXBTC-26APR0800-B71450,no,0.8700,0.8884,0.0211,3.18,0.72,KXBTC,71450.0,,2026-04-08T04:00:00Z,1,0,1,0,-0.13,early_loss
2026-04-07T22:17:06.424765,KXBTC-26APR0800-B71450,no,0.8600,0.8814,0.0249,3.44,0.71,KXBTC,71450.0,,2026-04-08T04:00:00Z,1,0,1,0,-0.1,early_loss
2026-04-07T22:17:06.426498,KXBTC-26APR0800-B71150,no,0.8900,0.9024,0.0139,1.27,0.71,KXBTC,71150.0,,2026-04-08T04:00:00Z,2,0,1,0,-0.03,early_loss
2026-04-07T22:17:10.592877,KXBTC-26APR0800-B71450,no,0.8600,0.8814,0.0249,3.44,0.71,KXBTC,71450.0,,2026-04-08T04:00:00Z,1,0,1,0,-0.1,early_loss
2026-04-07T22:17:20.171277,KXBTC-26APR0800-B71450,no,0.8700,0.8884,0.0211,3.18,0.71,KXBTC,71450.0,,2026-04-08T04:00:00Z,1,0,1,0,-0.13,early_loss
2026-04-07T22:17:23.629629,KXBTC-26APR0800-B71450,no,0.8700,0.8884,0.0211,3.18,0.71,KXBTC,71450.0,,2026-04-08T04:00:00Z,1,0,1,0,-0.13,early_loss
2026-04-07T22:17:27.707756,KXBTC-26APR0800-B71450,no,0.8700,0.8884,0.0211,3.18,0.71,KXBTC,71450.0,,2026-04-08T04:00:00Z,1,0,1,0,-0.13,early_loss
2026-04-07T22:17:27.867700,KXBTC-26APR0800-B71450,no,0.8700,0.8884,0.0211,3.18,0.71,KXBTC,71450.0,,2026-04-08T04:00:00Z,1,0,1,0,-0.13,early_loss
2026-04-07T22:17:37.357027,KXBTC-26APR0800-B71450,no,0.8600,0.8814,0.0249,3.44,0.71,KXBTC,71450.0,,2026-04-08T04:00:00Z,1,0,1,0,-0.1,early_loss
2026-04-07T22:17:40.714797,KXBTC-26APR0800-B71450,no,0.8600,0.8814,0.0249,3.44,0.71,KXBTC,71450.0,,2026-04-08T04:00:00Z,1,0,1,0,-0.1,early_loss
2026-04-07T22:17:46.960346,KXBTC-26APR0800-B71450,no,0.8600,0.8814,0.0249,3.44,0.70,KXBTC,71450.0,,2026-04-08T04:00:00Z,1,0,1,0,-0.1,early_loss
2026-04-07T22:17:57.945559,KXBTC-26APR0800-B71450,no,0.8600,0.8814,0.0249,3.44,0.70,KXBTC,71450.0,,2026-04-08T04:00:00Z,1,0,1,0,-0.1,early_loss
2026-04-07T22:18:04.022243,KXBTC-26APR0800-B71450,no,0.8600,0.8814,0.0249,3.44,0.70,KXBTC,71450.0,71293.00,2026-04-08T04:00:00Z,1,0,1,0,-0.1,early_loss
